filepath,object_raw,object_normalized,date_token
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.055.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.056.fits.gz,FOCUS04,FOCUS04,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.057.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.058.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.059.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.060.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.061.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.062.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.063.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.064.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.065.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.066.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.067.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.068.fits.gz,HII 2927,HII 2927,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.069.fits.gz,FOCUS04,FOCUS04,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.070.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.071.fits.gz,HII 1883,HII 1883,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.072.fits.gz,HII 2244,HII 2244,
/Users/aidandombrosky/Desktop/originals/Jan23_11/20110124.073.fits.gz,HII 2244,HII 2244,
