filepath,object_raw,object_normalized,date_token
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.492.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.493.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.494.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.495.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.496.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.497.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.498.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.499.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.500.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.501.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.502.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.503.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.504.fits,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.520.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.521.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.522.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.523.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.524.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.525.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.526.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.527.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.528.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.529.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.530.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.531.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.532.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.533.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.534.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.535.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.536.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.537.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.538.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151202/20151202.539.fits,bias,BIAS,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.045.fits.gz,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.046.fits.gz,Twilight flat,TWILIGHT FLAT,
/Users/aidandombrosky/Desktop/ROBO_data/20151203/20151203.047.fits.gz,Twilight flat,TWILIGHT FLAT,
